Year,Region,4도 과실 생산량.csv_감_10a당생산량kg,4도 과실 생산량.csv_감_면적ha,4도 과실 생산량.csv_감_생산량톤,4도 과실 생산량.csv_감귤_10a당생산량kg,4도 과실 생산량.csv_감귤_면적ha,4도 과실 생산량.csv_감귤_생산량톤,4도 과실 생산량.csv_단감_10a당생산량kg,4도 과실 생산량.csv_단감_면적ha,4도 과실 생산량.csv_단감_생산량톤,4도 과실 생산량.csv_떫은감_10a당생산량kg,4도 과실 생산량.csv_떫은감_면적ha,4도 과실 생산량.csv_떫은감_생산량톤,4도 과실 생산량.csv_매실_10a당생산량kg,4도 과실 생산량.csv_매실_면적ha,4도 과실 생산량.csv_매실_생산량톤,4도 과실 생산량.csv_배_10a당생산량kg,4도 과실 생산량.csv_배_면적ha,4도 과실 생산량.csv_배_생산량톤,4도 과실 생산량.csv_복숭아_10a당생산량kg,4도 과실 생산량.csv_복숭아_면적ha,4도 과실 생산량.csv_복숭아_생산량톤,4도 과실 생산량.csv_사과_10a당생산량kg,4도 과실 생산량.csv_사과_면적ha,4도 과실 생산량.csv_사과_생산량톤,4도 과실 생산량.csv_자두_10a당생산량kg,4도 과실 생산량.csv_자두_면적ha,4도 과실 생산량.csv_자두_생산량톤,4도 과실 생산량.csv_포도_10a당생산량kg,4도 과실 생산량.csv_포도_면적ha,4도 과실 생산량.csv_포도_생산량톤,4도 과실 생산량.csv_합계_면적ha,4도 과실 생산량.csv_합계_생산량톤,4도 재배면적규모별 작물재배 귀농가구.csv_0.5ha미만,4도 재배면적규모별 작물재배 귀농가구.csv_0.5~1.0ha미만,4도 재배면적규모별 작물재배 귀농가구.csv_1.0~2.0ha미만,4도 재배면적규모별 작물재배 귀농가구.csv_2.0ha이상,4도 재배면적규모별 작물재배 귀농가구.csv_재배가구수,4도_작물별_가구당_평균_재배면적.csv_과수,4도_작물별_가구당_평균_재배면적.csv_기타,4도_작물별_가구당_평균_재배면적.csv_논벼,4도_작물별_가구당_평균_재배면적.csv_두류,4도_작물별_가구당_평균_재배면적.csv_맥류잡곡,4도_작물별_가구당_평균_재배면적.csv_서류,4도_작물별_가구당_평균_재배면적.csv_채소,4도_작물별_가구당_평균_재배면적.csv_특용,4도_작물별_가구당_평균_재배면적.csv_평균재배면적,4도_작물별_가구당_평균_재배면적.csv_화훼,식량작물_생산량_정곡__20251107103209.csv_두류_면적ha,식량작물_생산량_정곡__20251107103209.csv_두류_생산량톤,식량작물_생산량_정곡__20251107103209.csv_맥류_면적ha,식량작물_생산량_정곡__20251107103209.csv_맥류_생산량톤,식량작물_생산량_정곡__20251107103209.csv_미곡_면적ha,식량작물_생산량_정곡__20251107103209.csv_미곡_생산량톤,식량작물_생산량_정곡__20251107103209.csv_서류_면적ha,식량작물_생산량_정곡__20251107103209.csv_서류_생산량톤,식량작물_생산량_정곡__20251107103209.csv_잡곡_면적ha,식량작물_생산량_정곡__20251107103209.csv_잡곡_생산량톤,식량작물_생산량_정곡__20251107103209.csv_합계_면적ha,식량작물_생산량_정곡__20251107103209.csv_합계_생산량톤
2013,강원도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,76,36,17,446,3140,6979,5630,2240,1091,1258,2326,1388,5264,1257,,,,,,,,,,,,
2013,경상남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,121,21,10,670,3412,1293,3486,802,972,493,1701,1076,4161,1605,,,,,,,,,,,,
2013,경상북도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,268,90,8,1080,3879,2313,3781,1647,869,861,1789,1127,4748,1171,,,,,,,,,,,,
2013,전라남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,113,74,23,693,3973,1850,4260,1620,1755,1738,2216,1119,5276,2744,,,,,,,,,,,,
2014,강원도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,66,31,7,466,3140,1961,4536,2149,1318,1225,2571,1444,4376,642,,,,,,,,,,,,
2014,경상남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,115,32,13,731,2980,2096,3153,1042,2204,803,2017,1359,4096,1556,,,,,,,,,,,,
2014,경상북도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,244,95,17,1275,3899,2849,3151,2098,1751,1127,2203,3078,4775,2077,,,,,,,,,,,,
2014,전라남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,140,54,27,821,4168,4657,4536,1790,1953,1395,2073,2121,5031,1747,,,,,,,,,,,,
2015,강원도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,108,33,16,596,2739,6406,4498,1982,1370,1273,2549,2905,5054,3078,,,,,,,,,,,,
2015,경상남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,130,35,16,1005,3127,2711,3108,791,1182,769,1890,1737,3897,1507,,,,,,,,,,,,
2015,경상북도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,265,112,17,1434,3569,3779,3581,1456,1888,1551,2251,1723,4537,3018,,,,,,,,,,,,
2015,전라남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,175,71,26,1041,3095,3171,4250,1405,3139,1843,2292,1514,4627,2949,,,,,,,,,,,,
2016,강원도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,104,36,11,678,3139,2749,3980,1990,1525,1260,1986,1734,4103,2309,,,,,,,,,,,,
2016,경상남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907,121,29,5,1062,2073,1283,3016,1028,1409,719,1871,1357,3255,973,,,,,,,,,,,,
2016,경상북도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148,315,88,15,1566,3902,2817,3279,1753,1720,1472,2052,1843,4235,2094,,,,,,,,,,,,
2016,전라남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,138,57,16,1079,2984,3792,3553,1530,2384,1734,2422,1435,3933,1684,,,,,,,,,,,,
2017,강원도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,88,23,6,656,1933,2443,4469,1514,1261,1075,1884,1443,3429,1300,,,,,,,,,,,,
2017,경상남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,131,34,6,1083,2133,2520,3022,960,1265,650,1782,1468,3361,629,,,,,,,,,,,,
2017,경상북도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161,246,63,15,1485,3175,1865,3477,1864,1664,904,1922,2442,4040,1625,,,,,,,,,,,,
2017,전라남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876,150,44,20,1090,2839,2773,4167,1293,3020,3216,2233,1760,4187,1779,,,,,,,,,,,,
2018,강원도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,78,32,7,660,1869,2755,4887,1707,1451,1849,1694,1782,3684,720,,,,,,,,,,,,
2018,경상남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,109,28,8,1016,2383,1832,2912,874,1330,744,1745,1327,3276,643,,,,,,,,,,,,
2018,경상북도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119,257,66,9,1451,3125,4034,3240,1824,1302,738,2062,1790,3859,1432,,,,,,,,,,,,
2018,전라남도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,177,49,13,1194,2580,2930,3405,1517,2336,2095,2086,1389,3722,2571,,,,,,,,,,,,
2019,강원도,936,211,1971,0,0,0,561,3,14,940,208,1957,302,129,388,1638,188,3080,910,464,4224,1935,542,10486,752,29,221,1180,208,2454,1771,22824,505,74,31,14,624,1872,3258,3970,2070,1636,1719,1947,2548,4252,2131,,,,,,,,,,,,
2019,경상남도,1238,6645,82270,1459,0,2,1354,4700,63656,957,1945,18614,733,1379,10108,1265,414,5245,1343,363,4876,2602,2388,62136,934,195,1822,2007,250,5023,11635,171482,757,95,24,X,877,1792,2217,2821,871,2291,814,1507,881,3056,1106,,,,,,,,,,,,
2019,경상북도,1878,4896,91937,372,3,12,1193,370,4412,1934,4526,87525,525,552,2894,2096,1020,21378,1535,6884,105669,2296,14723,338085,997,4377,43631,1666,5306,88416,37761,692022,1137,212,59,10,1418,2874,2179,3037,1837,2401,651,1827,1245,3695,1139,,,,,,,,,,,,
