연도,부류,품목,재배면적(ha),생산량(톤),통계근거
2023,식량,쌀,93252,501248,통계청 통계
2023,식량,보리,521,1371,통계청 통계
2023,식량,콩,11083,21363,통계청 통계
2023,식량,감자,2546,61871,통계청 통계
2023,식량,옥수수,959,4060,통계청 통계
2023,식량,메밀,432,972,통계청 통계
2023,과실,사과,20046,244990,통계청 통계
2023,과실,배,986,19855,통계청 통계
2023,과실,포도,8308,108907,통계청 통계
2023,과실,복숭아,10002,95221,통계청 통계
2023,과실,자두,5232,41853,통계청 통계
2023,채소,고추,7269,16084,통계청 통계
2023,채소,마늘,5208,76362,통계청 통계
2023,채소,양파,2986,234667,통계청 통계
2023,채소,무,1561,69220,통계청 통계
2023,채소,배추,4002,245844,통계청 통계
2023,채소,오이,472,37167,통계청 통계
2023,채소,파프리카,23,2356,통계청 통계
2023,채소,참외,4229,199478,통계청 통계
2023,채소,수박,1248,39981,통계청 통계
2023,채소,토마토,293,17955,통계청 통계
2023,채소,딸기,434,14579,통계청 통계
2022,특작,양잠(누에),131,113,통계청 통계
2022,특작,오디,18,50,통계청 통계
2023,특작,천궁,101,910,통계청 통계
2023,특작,산약,447,6114,통계청 통계
2023,특작,하수오,5,10,통계청 통계
2023,특작,오미자,916,2098,통계청 통계
2023,특작,인삼,1245,2289,통계청 통계
2023,특작,참깨,4878,2111,통계청 통계
2023,특작,땅콩,911,2413,통계청 통계
2023,특작,(참)당귀,163,434,통계청 통계
2023,특작,향부자,22,119,통계청 통계
2023,특작,양송이버섯,5,938,통계청 통계
2023,특작,느타리버섯,20,3685,통계청 통계
2023,특작,새송이버섯,23,15657,통계청 통계
2023,특작,팽이버섯,26,16437,통계청 통계
2023,특작,잎담배,795,1510,KTGO
