작목명,재배방식,정식시기,당해,이듬해,3년,4-5년
고추,촉성,12월중~하,,2월상~6월중,,
고추,보통-풋고추,4월중~5월중,6월중~7월중,,,
고추,보통-붉은고추,4월중~하,7월중~10월중,,,
고추,반촉성-꽈리,2월중~3월중,3월상~10월중,,,
딸기,반촉성,9월하~10월중,,1월하~5월중,,
딸기,억제,8월하~9월상,9월하~10월상,,,
딸기,촉성,9월중~하,12월하~3월하,,,
배추,노지-봄,4월상~5월중,5월하~6월중,,,
배추,노지-가울,8월하~9월상,10월중~12월상,,,
배추,시설,2월상~4월중,3월중~5월하,,,
배추,고랭지-여름,5월하~6월중,7월상~10월상,,,
토마토,촉성,10월하~11월하,,1월중~5월상,,
토마토,반촉성,1월하~2월중,3월상~6월상,,,
토마토,조숙,5월상~하,6월중~7월하,,,
토마토,노지-억제,5월중~하,7월하~10월상,,,
가지,촉성,8월하~9월상,10월상~6월하,,,
가지,반촉성,1월상~하,4월상~6월하,,,
감귤,조생종,3월중~하,,10월중 이후,,
감귤,극조생종,,,10월중 이후,,
단감,조생종,3월하~4월중,,9월중 이후,,
단감,중생중,,,10월상 이후,,
단감,만생종,,,10월하 이후,,
단감,시설,,8월상~9월상,,,
배,조생종,3월하~4월중,,,,8월중~9월중
배,중생종,,,,,9월중~10월중
배,만생종,,,,,10월중~11월상
포도,캠벨얼리,3월중,8월하~9월상,,,
포도,거봉,,9월중,,,
느타리,봄,2월하,4월상~5월하,2월상~6월중,,
버섯,여름,5월중,6월하~8월중,,,
버섯,가을,8월하,10월상~11월하,,,
버섯,겨울,11월상,12월상~1월하,,,
양송이,봄,2월하,,4월중~6월중,,
버섯,여름,8월하,10월중~11월중,,,
국화,전조,9월상~중,12월중~1월하,,,
국화,차광,3월하~4월중,8월상~9월중,,,
국화,노지,7월하~8월상,10월중~11월상,,,
선인장,여름,4월하~5월하,7월중~11월상,,,
선인장,겨울,9월중~10월중,,2월상~4월하,,
장미,연중,2월상~5월하,4~5년 연중수확,,,
장미,여름,,5월상~11월하,,,
튤립,억제,11월하~12월상,,5월중~6월중,,
튤립,촉성,10월중~11월상,,1월중~2월중,,
튤립,반촉성,10월중~11월상,,2월하~3월중,,
감자,봄,3월상~4월상,6월하~7월중,,,
감자,여름,5월하~6월상,8월중~9월중,,,
감자,가을,8월중~하,10월하~12월상,,,
감자,겨울,1월하~2월상,4월중~5월중,,,
고구마,노지,5월상~6월중,10월상~중,,,
참깨,1모작,4월하~5월중,8월중~하,,,
참깨,2모작,6월상~중,8월중~9월상,,,
팥,노지,6월상~하,10월상,,,
콩,1모작,5월상~중,10월상,,,
콩,2모작,6월상~중,10월중,,,
율무,직파,5월상~중,9월하~11월하,,,
차,노지,4월중~8월중,,,4월상~8월중,
참다래,노지,11월 상순,,,,
