DATE,품목,품종,거래단위,등급,평균가격,전년,평년
2024,무,고랭지,20kg,상품,"26,490","18,445","17,724"
2024,무,고랭지,20kg,중품,"21,033","16,041","15,212"
2023,무,고랭지,20kg,상품,"18,445","26,686","18,978"
2023,무,고랭지,20kg,중품,"16,041","24,550","15,730"
2022,무,고랭지,20kg,상품,"26,686","11,933","17,251"
2022,무,고랭지,20kg,중품,"24,550","9,726","14,289"
2021,무,고랭지,20kg,상품,"11,933","20,662","19,766"
2021,무,고랭지,20kg,중품,"9,726","18,118","16,503"
2020,무,고랭지,20kg,상품,"20,662","14,064","17,566"
2020,무,고랭지,20kg,중품,"18,118","11,478","14,289"
2019,무,고랭지,20kg,상품,"14,064","22,208","16,593"
2019,무,고랭지,20kg,중품,"11,478","17,594","13,501"
2018,무,고랭지,20kg,상품,"22,208","17,026","13,889"
2018,무,고랭지,20kg,중품,"17,594","13,796","11,456"
2017,무,고랭지,20kg,상품,"17,026","21,609","13,422"
2017,무,고랭지,20kg,중품,"13,796","18,316","11,335"
2016,무,고랭지,20kg,상품,"21,609","9,897","13,422"
2016,무,고랭지,20kg,중품,"18,316","7,789","11,335"
2015,무,고랭지,20kg,상품,"9,897","11,143","15,147"
2015,무,고랭지,20kg,중품,"7,789","9,112","12,855"
