DATE,품목,품종,거래단위,등급,평균가격,전년,평년
2022,배추,고랭지,10kg,상품,"19,862","9,729","13,477"
2022,배추,고랭지,10kg,중품,"18,000","8,377","11,493"
2021,배추,고랭지,10kg,상품,"9,729","19,650","14,112"
2021,배추,고랭지,10kg,중품,"8,377","17,036","12,116"
2020,배추,고랭지,10kg,상품,"19,650","12,477","13,477"
2020,배추,고랭지,10kg,중품,"17,036","10,589","11,493"
2019,배추,고랭지,10kg,상품,"12,477","13,753","11,601"
2019,배추,고랭지,10kg,중품,"10,589","11,479","9,902"
2018,배추,고랭지,10kg,상품,"13,753","14,200","10,312"
2018,배추,고랭지,10kg,중품,"11,479","12,412","8,847"
2017,배추,고랭지,10kg,상품,"14,200","14,383","8,897"
2017,배추,고랭지,10kg,중품,"12,412","12,456","7,659"
2016,배추,고랭지,10kg,상품,"14,383","5,567","8,249"
2016,배추,고랭지,10kg,중품,"12,456","4,472","7,037"
2015,배추,고랭지,10kg,상품,"5,567","6,850","9,284"
2015,배추,고랭지,10kg,중품,"4,472","5,814","8,048"
2014,배추,고랭지,10kg,상품,"6,850","9,885","9,284"
2014,배추,고랭지,10kg,중품,"5,814","8,315","8,048"
2013,배추,고랭지,10kg,상품,"9,885","9,956","7,822"
2013,배추,고랭지,10kg,중품,"8,315","8,849","6,751"
