DATE,품목,품종,거래단위,등급,평균가격,전년,평년
2018,깐마늘(국산),깐마늘(국산),20kg,상품,"128,800","134,423","118,600"
2018,깐마늘(국산),깐마늘(국산),20kg,중품,"118,800","124,598","106,149"
2017,깐마늘(국산),깐마늘(국산),20kg,상품,"134,423","153,537","113,565"
2017,깐마늘(국산),깐마늘(국산),20kg,중품,"124,598","143,362","98,455"
2016,깐마늘(국산),깐마늘(국산),20kg,상품,"153,537","119,027","113,565"
2016,깐마늘(국산),깐마늘(국산),20kg,중품,"143,362","108,119","98,455"
2015,깐마늘(국산),깐마늘(국산),20kg,상품,"119,027","83,598","114,666"
2015,깐마늘(국산),깐마늘(국산),20kg,중품,"108,119","70,644","99,160"
2014,깐마늘(국산),깐마늘(국산),20kg,상품,"83,598","102,350","114,666"
2014,깐마늘(국산),깐마늘(국산),20kg,중품,"70,644","85,729","99,160"
2013,깐마늘(국산),깐마늘(국산),20kg,상품,"102,350","119,317","104,084"
2013,깐마늘(국산),깐마늘(국산),20kg,중품,"85,729","101,517","90,695"
