DATE,품목,품종,거래단위,등급,평균가격,전년,평년
2024,사과,후지,10kg,상품,"87,878","59,387","51,765"
2024,사과,후지,10kg,중품,"79,261","52,966","45,331"
2023,사과,후지,10kg,상품,"59,387","46,539","45,935"
2023,사과,후지,10kg,중품,"52,966","40,987","39,686"
2022,사과,후지,10kg,상품,"46,539","56,571","43,333"
2022,사과,후지,10kg,중품,"40,987","50,774","37,191"
2021,사과,후지,10kg,상품,"56,571","52,186","38,796"
2021,사과,후지,10kg,중품,"50,774","44,233","33,611"
2020,사과,후지,10kg,상품,"52,186","38,732","38,796"
2020,사과,후지,10kg,중품,"44,233","33,493","33,611"
2019,사과,후지,10kg,상품,"38,732","39,081","39,634"
2019,사과,후지,10kg,중품,"33,493","33,837","34,687"
2018,사과,후지,10kg,상품,"39,081","38,575","42,515"
2018,사과,후지,10kg,중품,"33,837","33,504","36,716"
2017,사과,후지,10kg,상품,"38,575","37,594","47,661"
2017,사과,후지,10kg,중품,"33,504","32,119","40,456"
2016,사과,후지,10kg,상품,"37,594","41,246","52,034"
2016,사과,후지,10kg,중품,"32,119","36,719","41,866"
2015,사과,후지,10kg,상품,"41,246","54,015","52,034"
2015,사과,후지,10kg,중품,"36,719","44,724","41,866"
2014,사과,후지,10kg,상품,"54,015","47,723","47,423"
2014,사과,후지,10kg,중품,"44,724","39,924","37,852"
2013,사과,후지,10kg,상품,"47,723","57,853","44,021"
2013,사과,후지,10kg,중품,"39,924","47,504","34,863"
2024,사과,홍로,10kg,상품,"66,364","88,963","57,222"
2024,사과,홍로,10kg,중품,"57,690","79,441","50,604"
2023,사과,홍로,10kg,상품,"88,963","49,321","44,900"
2023,사과,홍로,10kg,중품,"79,441","44,403","39,706"
2022,사과,홍로,10kg,상품,"49,321","39,872","40,959"
2022,사과,홍로,10kg,중품,"44,403","34,273","35,760"
2021,사과,홍로,10kg,상품,"39,872","82,472","40,285"
2021,사과,홍로,10kg,중품,"34,273","73,135","35,211"
2020,사과,홍로,10kg,상품,"82,472","35,009","37,090"
2020,사과,홍로,10kg,중품,"73,135","29,217","31,736"
2019,사과,홍로,10kg,상품,"35,009","45,506","38,113"
2019,사과,홍로,10kg,중품,"29,217","40,441","32,673"
2018,사과,홍로,10kg,상품,"45,506","37,498","38,113"
2018,사과,홍로,10kg,중품,"40,441","32,566","32,327"
2017,사과,홍로,10kg,상품,"37,498","37,850","39,302"
2017,사과,홍로,10kg,중품,"32,566","32,625","32,414"
2016,사과,홍로,10kg,상품,"37,850","35,923","38,659"
2016,사과,홍로,10kg,중품,"32,625","30,017","31,545"
2015,사과,홍로,10kg,상품,"35,923","38,991","39,008"
2015,사과,홍로,10kg,중품,"30,017","32,827","31,814"
2014,사과,홍로,10kg,상품,"38,991","41,064","36,971"
2014,사과,홍로,10kg,중품,"32,827","31,790","29,417"
2013,사과,홍로,10kg,상품,"41,064","45,351","32,577"
2013,사과,홍로,10kg,중품,"31,790","38,580","26,343"
2024,사과,쓰가루(아오리),10kg,상품,"57,565","60,463","41,814"
2024,사과,쓰가루(아오리),10kg,중품,"51,091","54,284","36,501"
2023,사과,쓰가루(아오리),10kg,상품,"60,463","42,733","37,394"
2023,사과,쓰가루(아오리),10kg,중품,"54,284","37,738","32,072"
2018,사과,쓰가루(아오리),10kg,상품,"35,483","30,222","30,669"
2018,사과,쓰가루(아오리),10kg,중품,"30,185","25,711","25,791"
2023,사과,쓰가루,10kg,상품,"60,463","42,733","37,394"
2023,사과,쓰가루,10kg,중품,"54,284","37,738","32,072"
2022,사과,쓰가루,10kg,상품,"42,733","33,965","33,902"
2022,사과,쓰가루,10kg,중품,"37,738","28,294","28,479"
2021,사과,쓰가루,10kg,상품,"33,965","48,745","32,654"
2021,사과,쓰가루,10kg,중품,"28,294","43,470","27,618"
2020,사과,쓰가루,10kg,상품,"48,745","32,258","30,604"
2020,사과,쓰가루,10kg,중품,"43,470","26,958","26,102"
2019,사과,쓰가루,10kg,상품,"32,258","35,483","30,669"
2019,사과,쓰가루,10kg,중품,"26,958","30,185","25,791"
2018,사과,쓰가루,10kg,상품,"35,483","30,222","30,669"
2018,사과,쓰가루,10kg,중품,"30,185","25,711","25,791"
2017,사과,쓰가루,10kg,상품,"30,222","29,331","33,546"
2017,사과,쓰가루,10kg,중품,"25,711","24,331","28,525"
2016,사과,쓰가루,10kg,상품,"29,331","28,971","33,978"
2016,사과,쓰가루,10kg,중품,"24,331","25,638","28,525"
2015,사과,쓰가루,10kg,상품,"28,971","32,455","35,552"
2015,사과,쓰가루,10kg,중품,"25,638","26,024","29,297"
2014,사과,쓰가루,10kg,상품,"32,455","42,209","34,943"
2014,사과,쓰가루,10kg,중품,"26,024","35,251","28,806"
