YEAR,QU,ORDR,AREANM,LNDPCL,MUMMPC,MXMMPC
2011,2011년 1분기,NULL,경상남도 창원시 진해구,196,20160,273220
2011,2011년 1분기,NULL,경상남도 진주시,2071,720,142860
2011,2011년 1분기,NULL,경상남도 통영시,1131,300,242540
2011,2011년 1분기,NULL,경상남도 사천시,1157,1430,160680
2011,2011년 1분기,NULL,경상남도 김해시,1892,470,438630
2011,2011년 1분기,NULL,경상남도 밀양시,3015,380,165000
2011,2011년 1분기,NULL,경상남도 거제시,1815,2700,440250
2011,2011년 1분기,NULL,경상남도 양산시,889,5370,303030
2011,2011년 1분기,NULL,경상남도 의령군,1313,520,51410
2011,2011년 1분기,NULL,경상남도 함안군,2761,960,213330
2011,2011년 1분기,NULL,경상남도 창녕군,2851,160,82350
2011,2011년 1분기,NULL,경상남도 고성군,1980,860,126470
2011,2011년 1분기,NULL,경상남도 남해군,1930,1150,148260
2011,2011년 1분기,NULL,경상남도 하동군,2138,280,79050
2011,2011년 1분기,NULL,경상남도 산청군,1517,840,65870
2011,2011년 1분기,NULL,경상남도 함양군,1354,90,47620
2011,2011년 1분기,NULL,경상남도 거창군,1669,20,42150
2011,2011년 1분기,NULL,경상남도 합천군,2088,380,31970
2011,2011년 1분기,NULL,제주특별자치도 제주시,2995,2650,198840
2011,2011년 1분기,NULL,제주특별자치도 서귀포시,2193,1450,151240
2011,2011년 2분기,NULL,서울특별시 종로구,3,410960,840000
2011,2011년 2분기,NULL,서울특별시 중랑구,3,643560,1280000
2011,2011년 2분기,NULL,서울특별시 성북구,0,0,0
2011,2011년 2분기,NULL,서울특별시 강북구,1,63250,63250
2011,2011년 2분기,NULL,서울특별시 도봉구,0,0,0
2011,2011년 2분기,NULL,서울특별시 노원구,2,476000,476000
2011,2011년 2분기,NULL,서울특별시 은평구,5,68120,714290
2011,2011년 2분기,NULL,서울특별시 마포구,0,0,0
2011,2011년 2분기,NULL,서울특별시 강서구,24,71430,1134140
2011,2011년 2분기,NULL,서울특별시 구로구,4,454550,904870
2011,2011년 2분기,NULL,서울특별시 금천구,0,0,0
2011,2011년 2분기,NULL,서울특별시 서초구,42,193590,1831850
2011,2011년 2분기,NULL,서울특별시 강남구,22,152280,1363640
2011,2011년 2분기,NULL,서울특별시 송파구,4,720720,757580
2011,2011년 2분기,NULL,서울특별시 강동구,20,257380,1496260
