Column1,Column2,Column3,Column4,Column5,Column6,Column7
2010,1,1,서울특별시 종로구,7,"192,530","939,600"
2010,1,2,서울특별시 중랑구,15,"907,550","1,508,600"
2010,1,3,서울특별시 성북구,2,"264,710","273,110"
2010,1,4,서울특별시 강북구,-,-,-
2010,1,5,서울특별시 도봉구,5,"326,090","900,000"
2010,1,6,서울특별시 노원구,4,"173,610","465,000"
2010,1,7,서울특별시 은평구,11,"151,350","745,450"
2010,1,8,서울특별시 마포구,-,-,-
2010,1,9,서울특별시 강서구,14,"121,010","467,350"
2010,1,10,서울특별시 구로구,2,"604,890","906,830"
2010,1,11,서울특별시 금천구,1,"338,120","338,120"
2010,1,12,서울특별시 서초구,37,"33,620","1,411,410"
2010,1,13,서울특별시 강남구,14,"135,140","1,376,700"
2010,1,14,서울특별시 송파구,4,"567,160","1,692,310"
2010,1,15,서울특별시 강동구,31,"202,230","1,036,590"
2010,1,16,부산광역시 서구,2,"41,980","75,190"
2010,1,17,부산광역시 동구,-,-,-
2010,1,18,부산광역시 영도구,2,"52,950","211,590"
2010,1,19,부산광역시 부산진구,1,"271,960","271,960"
2010,1,20,부산광역시 동래구,2,"56,740","205,870"
2010,1,21,부산광역시 남구,3,"78,950","242,560"
2010,1,22,부산광역시 북구,9,"39,280","320,000"
2010,1,23,부산광역시 해운대구,8,"30,170","422,990"
2010,1,24,부산광역시 사하구,4,"49,040","350,000"
2010,1,25,부산광역시 금정구,64,"28,900","255,880"
2010,1,26,부산광역시 강서구,467,"9,660","423,510"
2010,1,27,부산광역시 연제구,-,-,-
2010,1,28,부산광역시 수영구,-,-,-
2010,1,29,부산광역시 사상구,6,"26,200","266,900"
2010,1,30,부산광역시 기장군,560,"11,330","422,730"
2010,1,31,대구광역시 동구,216,"2,070","412,590"
2010,1,32,대구광역시 서구,7,"81,970","326,440"
2010,1,33,대구광역시 북구,84,"20,440","452,830"
2010,1,34,대구광역시 수성구,121,"16,260","468,630"
2010,1,35,대구광역시 달서구,14,"44,470","344,830"
2010,1,36,대구광역시 달성군,814,"4,520","243,500"
2010,1,37,인천광역시 중구,157,"34,130","769,230"
2010,1,38,인천광역시 남구,3,"277,080","565,000"
2010,1,39,인천광역시 연수구,3,"728,350","983,070"
2010,1,40,인천광역시 남동구,68,"76,170","756,260"
2010,1,41,인천광역시 부평구,5,"873,730","897,580"
2010,1,42,인천광역시 계양구,145,"86,670","968,000"
2010,1,43,인천광역시 서구,66,"22,660","905,000"
2010,1,44,인천광역시 강화군,2439,"4,930","316,720"
2010,1,45,인천광역시 옹진군,792,790,"357,140"
2010,1,46,광주광역시 동구,22,"12,570","242,110"
2010,1,47,광주광역시 서구,106,"24,950","272,400"
2010,1,48,광주광역시 남구,187,"10,000","272,500"
2010,1,49,광주광역시 북구,221,"5,090","264,530"
2010,1,50,광주광역시 광산구,725,100,"266,340"
2010,1,51,대전광역시 동구,216,"7,550","452,610"
2010,1,52,대전광역시 중구,77,"7,900","204,100"
2010,1,53,대전광역시 서구,179,"10,410","465,990"
2010,1,54,대전광역시 유성구,293,"13,760","454,070"
2010,1,55,대전광역시 대덕구,80,"11,720","470,090"
2010,1,56,울산광역시 중구,36,"30,090","282,050"
2010,1,57,울산광역시 남구,37,"21,570","363,000"
2010,1,58,울산광역시 동구,36,"16,560","250,190"
2010,1,59,울산광역시 북구,314,"3,520","386,970"
2010,1,60,울산광역시 울주군,1935,"4,230","315,520"
2010,1,61,세종특별자치시 세종특별자치시,-,-,-
2010,1,62,경기도 수원시 장안구,18,"74,130","1,286,240"
2010,1,63,경기도 수원시 권선구,78,"119,210","1,208,890"
2010,1,64,경기도 수원시 팔달구,-,-,-
2010,1,65,경기도 수원시 영통구,12,"759,800","1,512,200"
2010,1,66,경기도 성남시 수정구,48,"136,160","4,000,000"
2010,1,67,경기도 성남시 중원구,28,"68,970","696,100"
2010,1,68,경기도 성남시 분당구,366,"31,330","3,032,260"
2010,1,69,경기도 의정부시,68,"42,510","581,820"
2010,1,70,경기도 안양시 만안구,3,"198,110","537,060"
2010,1,71,경기도 안양시 동안구,6,"166,850","777,780"
2010,1,72,경기도 부천시 원미구,4,"342,740","597,610"
2010,1,73,경기도 부천시 소사구,13,"201,100","1,195,970"
2010,1,74,경기도 부천시 오정구,35,"133,930","849,280"
2010,1,75,경기도 광명시,48,"158,540","790,910"
2010,1,76,경기도 평택시,1546,"8,610","458,020"
2010,1,77,경기도 동두천시,104,"6,510","453,300"
2010,1,78,경기도 안산시 상록구,127,"23,100","392,860"
2010,1,79,경기도 안산시 단원구,263,"43,600","382,410"
2010,1,80,경기도 고양시 덕양구,360,"24,480","750,000"
2010,1,81,경기도 고양시 일산동구,155,"48,210","729,960"
2010,1,82,경기도 고양시 일산서구,38,"148,210","679,350"
2010,1,83,경기도 과천시,65,"82,180","1,397,060"
2010,1,84,경기도 구리시,49,"106,480","1,020,310"
2010,1,85,경기도 남양주시,1008,"7,200","787,880"
2010,1,86,경기도 오산시,35,"74,490","1,025,460"
2010,1,87,경기도 시흥시,351,"67,020","614,560"
2010,1,88,경기도 군포시,29,"64,520","574,540"
2010,1,89,경기도 의왕시,73,"21,620","691,240"
2010,1,90,경기도 하남시,176,"11,500","914,630"
2010,1,91,경기도 용인시 처인구,1337,"9,080","873,490"
2010,1,92,경기도 용인시 기흥구,86,"40,670","876,970"
2010,1,93,경기도 용인시 수지구,33,"60,490","876,900"
2010,1,94,경기도 파주시,1406,"3,930","680,750"
2010,1,95,경기도 이천시,2203,"6,060","328,520"
2010,1,96,경기도 안성시,2000,"5,560","293,380"
2010,1,97,경기도 김포시,1320,"24,440","787,880"
2010,1,98,경기도 화성시,2344,220,"494,380"
2010,1,99,경기도 광주시,901,"9,950","732,600"
2010,1,100,경기도 양주시,598,"7,460","508,730"
2010,1,101,경기도 포천시,2351,560,"364,960"
2010,1,102,경기도 여주시,-,-,-
2010,1,103,경기도 여주군,2145,"3,630","272,250"
