"연령별","성별",2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024
"연령별","성별",귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명),귀농가구원수 (명),귀농인수 (명),동반가구원수 (명)
"계","계",17318,10312,7006,17976,10904,7072,19860,12114,7746,20559,13019,7540,19630,12763,6867,17856,12055,5801,16181,11504,4677,17447,12570,4877,19776,14461,5315,16906,12660,4246,13680,10540,3140,10710,8403,2307
"계","남자",9870,7239,2631,10260,7541,2719,11299,8331,2968,11783,8759,3024,11159,8509,2650,10463,8265,2198,9687,7891,1796,10455,8496,1959,11829,9715,2114,10206,8382,1824,8231,6899,1332,6477,5477,1000
"계","여자",7448,3073,4375,7716,3363,4353,8561,3783,4778,8776,4260,4516,8471,4254,4217,7393,3790,3603,6494,3613,2881,6992,4074,2918,7947,4746,3201,6700,4278,2422,5449,3641,1808,4233,2926,1307
"0 - 39세","계",4834,1174,3660,4877,1123,3754,5108,1168,3940,5307,1353,3954,4788,1340,3448,4233,1365,2868,3413,1212,2201,3699,1370,2329,3842,1522,2320,3009,1195,1814,2449,1142,1307,2056,1098,958
"0 - 39세","남자",2789,915,1874,2796,877,1919,2913,872,2041,3081,1019,2062,2716,1000,1716,2485,1024,1461,2077,943,1134,2244,1000,1244,2368,1126,1242,1876,910,966,1438,804,634,1251,765,486
"0 - 39세","여자",2045,259,1786,2081,246,1835,2195,296,1899,2226,334,1892,2072,340,1732,1748,341,1407,1336,269,1067,1455,370,1085,1474,396,1078,1133,285,848,1011,338,673,805,333,472
"40 - 49세","계",3177,2348,829,3238,2412,826,3246,2428,818,3132,2386,746,2948,2273,675,2613,2028,585,2167,1752,415,2210,1791,419,2295,1858,437,1895,1568,327,1448,1229,219,1176,994,182
"40 - 49세","남자",1809,1631,178,1838,1671,167,1826,1628,198,1773,1581,192,1634,1472,162,1512,1352,160,1303,1192,111,1348,1214,134,1339,1205,134,1115,1003,112,878,791,87,733,662,71
"40 - 49세","여자",1368,717,651,1400,741,659,1420,800,620,1359,805,554,1314,801,513,1101,676,425,864,560,304,862,577,285,956,653,303,780,565,215,570,438,132,443,332,111
"50 - 59세","계",5624,4077,1547,5841,4365,1476,6572,4875,1697,6750,5202,1548,6402,4956,1446,5729,4502,1227,5377,4291,1086,5403,4402,1001,5890,4772,1118,4888,4025,863,4034,3356,678,2959,2465,494
"50 - 59세","남자",3024,2703,321,3196,2857,339,3530,3157,373,3622,3260,362,3416,3074,342,3126,2871,255,2972,2720,252,2945,2711,234,3169,2901,268,2631,2385,246,2196,1987,209,1626,1463,163
"50 - 59세","여자",2600,1374,1226,2645,1508,1137,3042,1718,1324,3128,1942,1186,2986,1882,1104,2603,1631,972,2405,1571,834,2458,1691,767,2721,1871,850,2257,1640,617,1838,1369,469,1333,1002,331
"60 - 69세","계",2841,2186,655,3057,2377,680,3846,2954,892,4239,3306,933,4408,3465,943,4199,3403,796,4185,3490,695,4925,4084,841,6299,5203,1096,5747,4828,919,4655,3940,715,3696,3182,514
"60 - 69세","남자",1838,1653,185,1973,1758,215,2479,2216,263,2722,2404,318,2824,2492,332,2763,2509,254,2768,2546,222,3238,2960,278,4066,3688,378,3754,3382,372,3049,2729,320,2375,2158,217
"60 - 69세","여자",1003,533,470,1084,619,465,1367,738,629,1517,902,615,1584,973,611,1436,894,542,1417,944,473,1687,1124,563,2233,1515,718,1993,1446,547,1606,1211,395,1321,1024,297
"70세 이상","계",842,527,315,963,627,336,1088,689,399,1131,772,359,1084,729,355,1082,757,325,1039,759,280,1210,923,287,1450,1106,344,1367,1044,323,1094,873,221,823,664,159
"70세 이상","남자",410,337,73,457,378,79,551,458,93,585,495,90,569,471,98,577,509,68,567,490,77,680,611,69,887,795,92,830,702,128,670,588,82,492,429,63
"70세 이상","여자",432,190,242,506,249,257,537,231,306,546,277,269,515,258,257,505,248,257,472,269,203,530,312,218,563,311,252,537,342,195,424,285,139,331,235,96
