"행정구역별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"행정구역별",귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명)
"행정구역별",계,계,계,계,계,계,계,계,계,계,계,계
"전국",17318,17976,19860,20559,19630,17856,16181,17447,19776,16906,13680,10710
"부산광역시",39,49,63,48,61,36,20,65,43,35,46,19
"대구광역시",103,128,137,182,200,113,135,97,111,103,223,158
"인천광역시",111,137,159,189,185,201,194,169,229,154,104,103
"울산광역시",113,155,132,145,140,127,80,109,157,104,101,83
"세종특별자치시",122,103,101,124,101,120,103,99,134,103,62,38
"경기도",1458,1429,1760,2317,1943,1534,1403,1793,1929,1888,1509,947
"강원특별자치도",1374,1258,1582,1625,1640,1536,1359,1324,1442,1254,951,717
"충청북도",1306,1422,1514,1658,1466,1341,1210,1320,1457,1249,951,837
"충청남도",1933,1928,2206,2253,2111,1921,1739,2052,2510,2139,1754,1381
"전라북도",1994,2044,2039,2024,2130,2080,1853,1994,2013,1609,1381,1137
"전라남도",2791,2882,3071,2999,2909,2963,2784,3108,3453,2523,2240,1885
"경상북도",3267,3560,3683,3568,3469,3205,3036,3135,3654,3317,2451,1948
"경상남도",2259,2357,2757,2657,2703,2257,1945,1846,2305,2046,1555,1254
"제주특별자치도",448,524,656,770,572,422,320,336,339,382,352,203
