연도,지역,귀농인구수,평균지가,평균기온,강수량,SPI3,주력작물_가격변동률
2015,강원도,1582.0,37.468161554581826,11.983333333333334,902.0428571428572,-0.8988506436983396,-14.9231938565569
2015,경상남도,2757.0,42.199848824387296,13.9,1347.5625,0.0845664402521761,61.169624942120706
2015,경상북도,3683.0,31.292360576068276,13.266666666666667,787.575,-0.5431028169802867,-20.043823038397324
2015,전라남도,3071.0,13.315905554168026,14.2875,1271.5166666666669,0.182784828895716,61.169624942120706
2016,강원도,1625.0,37.99483381371083,11.995238095238095,1162.571428571429,-0.0349091635578962,138.25981800766283
2016,경상남도,2657.0,47.39004664025095,14.340625,1778.1625,0.7880237399193548,16.433558984140195
2016,경상북도,3568.0,31.959864658449078,13.445833333333333,1207.225,0.4398000536034306,-5.368654573926657
2016,전라남도,2999.0,14.768056160640027,14.590277777777777,1523.05,0.600736146313364,16.433558984140195
2017,강원도,1640.0,40.77240056059797,11.407142857142857,1142.5285714285717,-0.3725965657230634,-11.232624273110215
2017,경상남도,2703.0,47.01766810503718,13.972916666666666,934.5875,-0.5139283802163338,-0.18642684773763118
2017,경상북도,3469.0,31.93572448317419,13.141666666666666,856.8,-0.4824534386200717,2.0629929946494485
2017,전라남도,2909.0,14.966973866227988,14.183333333333332,918.4333333333334,-0.566028321812596,-0.18642684773763118
2018,강원도,1536.0,42.13626506024096,11.626296296296296,1467.9,0.2976505861827008,13.636351000741293
2018,경상남도,2257.0,40.22502897207092,14.109444444444444,1724.0888888888887,0.3686732473307921,-19.52250101703531
2018,경상북도,3205.0,28.11292648848425,13.333833333333336,1298.96,0.4680927100187745,5.345079176349787
2018,전라남도,2963.0,15.62786314644517,14.127777777777778,1423.3666666666668,0.1238030380611025,-19.52250101703531
2019,강원도,1359.0,46.18531848999749,11.793518518518518,1073.4,-0.5817242987995676,-22.966587837628957
2019,경상남도,1945.0,35.74449020908234,14.34259259259259,1643.8444444444444,0.1313788331342094,-25.396870636504875
2019,경상북도,3036.0,30.09652076318743,13.360833333333332,1141.72,-0.0754901433691756,-5.007182433819013
2019,전라남도,2784.0,16.31584540056256,14.329166666666666,1478.8333333333333,0.0921187115975422,-25.396870636504875
2020,강원도,1324.0,52.46031198281629,11.512037037037038,1635.1888888888889,0.3992824846537304,52.19896960337009
2020,경상남도,1846.0,41.38905490490327,13.975925925925926,1928.7555555555557,0.4448718912646424,44.279435289732405
2020,경상북도,3135.0,27.17257481091746,12.919166666666666,1342.02,0.3441581788406872,53.00820911643984
2020,전라남도,3108.0,21.1800264267532,14.10277777777778,1570.5,0.2590760206814156,44.279435289732405
2021,강원도,1442.0,58.62853208257206,11.661111111111111,1099.8111111111111,-0.2534435697217955,-46.35499262258941
2021,경상남도,2305.0,51.55091724102192,14.399074074074074,1520.7666666666669,0.1013970885247767,25.008315087430578
2021,경상북도,3654.0,32.22642398286938,12.885,1182.24,0.1416045058883768,-11.722141823444277
2021,전라남도,3453.0,22.40492778249788,14.794444444444444,1413.7666666666669,-0.0052270118620925,25.008315087430578
2022,강원도,1254.0,60.17673766101262,11.219444444444443,1514.8000000000002,-0.0336159488834786,113.8401278211441
2022,경상남도,2046.0,48.79890963654552,14.14351851851852,987.1,-1.0315604544165495,6.041709114152327
2022,경상북도,3317.0,30.84415131139968,12.868333333333334,884.3399999999999,-0.8219047125897283,-7.299080367852861
2022,전라남도,2523.0,20.832950072755896,14.294444444444444,858.6333333333333,-1.1432778129677694,6.041709114152327
2023,강원도,951.0,49.94867220130975,12.082407407407407,1446.822222222222,0.0269722933378847,-26.548389096153507
2023,경상남도,1555.0,39.43344680464778,14.642592592592592,2121.5444444444447,0.6214613628605564,3.0667328189751046
2023,경상북도,2451.0,26.071774950632868,13.540833333333332,1580.81,0.4940978814644137,36.63007612844788
2023,전라남도,2240.0,18.344497973092064,14.931944444444444,1755.8333333333333,0.4301480094726062,3.0667328189751046
2024,강원도,717.0,40.208129253523396,12.725,1301.111111111111,0.3537562564617162,43.58359927687222
2024,경상남도,1254.0,37.28524224806202,15.425925925925927,1734.0,0.7610035464645217,-4.254547290203808
2024,경상북도,1948.0,24.647183196068934,14.323333333333334,1118.02,0.4382095189540407,25.07655396660038
2024,전라남도,1885.0,17.78755412252418,15.875,1674.0166666666669,0.8419949216060173,-4.254547290203808
2025,강원도,,33.683802965357316,,,,-35.257845747288734
2025,경상남도,,35.79554392928017,,,,5.400293519435673
2025,경상북도,,22.957768215482645,,,,8.403477997501296
2025,전라남도,,14.472703844226503,,,,5.400293519435673
