"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-12-04 ~ 2025-12-03"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 강원특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","강원특별자치도 횡성군 둔내면 삽교리","산1**","임야","계획관리지역","8m미만","202512","02","32290.00","8,340","지분","-","직거래","-"
"2","강원특별자치도 원주시 부론면 단강리","산8*","임야","보전관리지역","-","202512","02","19835.00","4,000","","-","직거래","-"
"3","강원특별자치도 원주시 부론면 단강리","8**","도로","생산관리지역","-","202512","02","104.00","280","","-","직거래","-"
"4","강원특별자치도 홍천군 홍천읍 태학리","5*","전","제1종일반주거지역","8m미만","202512","02","261.00","5,500","","-","직거래","-"
"5","강원특별자치도 횡성군 청일면 신대리","4**","전","계획관리지역","12m미만","202512","02","1087.00","9,600","","-","중개거래","강원 횡성군"
"6","강원특별자치도 횡성군 우천면 오원리","4**","임야","보전관리지역","-","202512","02","1461.00","2,000","","-","직거래","-"
"7","강원특별자치도 태백시 화전동","1**","잡종지","준공업지역","8m미만","202512","02","1020.00","4,200","","-","직거래","-"
"8","강원특별자치도 강릉시 옥계면 금진리","4**","대","계획관리지역","8m미만","202512","02","184.00","16,424","","-","직거래","-"
"9","강원특별자치도 강릉시 옥계면 금진리","4**","대","계획관리지역","8m미만","202512","02","187.00","16,099","","-","직거래","-"
"10","강원특별자치도 태백시 화전동","1**","잡종지","준공업지역","8m미만","202512","02","135.46","700","지분","-","직거래","-"
