"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-12-05 ~ 2025-12-04"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경상남도 밀양시 단장면 감물리","1***","임야","생산관리지역","8m미만","202512","03","223.00","1,145","지분","-","직거래","-"
"2","경상남도 함안군 대산면 장암리","1***","답","농림지역","8m미만","202512","03","4173.00","8,836","","-","직거래","-"
"3","경상남도 창원시 마산회원구 회원동","4**","대","제3종일반주거지역","8m미만","202512","03","83.00","5,000","","-","중개거래","경남 창원시 마산합포구"
"4","경상남도 진주시 지수면 용봉리","7**","전","농림지역","8m미만","202512","03","1977.00","7,176","","-","직거래","-"
"5","경상남도 밀양시 무안면 웅동리","산7*","임야","농림지역","-","202512","03","2975.00","1,100","","-","직거래","-"
"6","경상남도 김해시 진영읍 본산리","1**","전","자연녹지지역","8m미만","202512","03","305.00","7,000","","-","중개거래","경남 창원시 성산구"
"7","경상남도 김해시 진영읍 본산리","1**","전","자연녹지지역","8m미만","202512","03","1103.00","13,000","","-","중개거래","경남 창원시 성산구"
"8","경상남도 창원시 마산합포구 자산동","1**","대","제2종일반주거지역","25m미만","202512","03","34.00","10,573","","-","중개거래","경남 창원시 마산회원구, 경남 창원시 성산구"
"9","경상남도 거제시 거제면 오수리","8**","전","자연환경보전","8m미만","202512","03","552.00","11,000","","-","중개거래","경남 거제시"
"10","경상남도 김해시 화목동","1***","답","개발제한구역","8m미만","202512","03","2987.00","49,000","","-","직거래","-"
"11","경상남도 거창군 고제면 궁항리","7**","답","농림지역","8m미만","202512","03","2157.00","3,586","","-","직거래","-"
"12","경상남도 함양군 수동면 화산리","9**","도로","계획관리지역","-","202512","03","8.00","20","","-","직거래","-"
"13","경상남도 합천군 초계면 관평리","5*","답","농림지역","12m미만","202512","03","4067.00","17,200","","-","직거래","-"
"14","경상남도 하동군 하동읍 두곡리","7**","창고용지","계획관리지역","-","202512","03","70.00","500","","-","직거래","-"
"15","경상남도 합천군 초계면 관평리","5*","답","농림지역","12m미만","202512","03","1877.00","7,972","","-","직거래","-"
"16","경상남도 창원시 마산합포구 진북면 영학리","9**","임야","계획관리지역","8m미만","202512","03","187.00","3,040","","-","중개거래","경남 창원시 마산합포구"
"17","경상남도 합천군 삼가면 일부리","9**","대","일반상업지역","12m미만","202512","03","20.00","930","지분","-","직거래","-"
"18","경상남도 합천군 용주면 용지리","3**","전","계획관리지역","-","202512","03","150.50","100","지분","-","직거래","-"
"19","경상남도 거창군 가조면 사병리","1***","답","농림지역","8m미만","202512","03","2745.00","9,960","","-","직거래","-"
"20","경상남도 거창군 가조면 사병리","1***","답","농림지역","8m미만","202512","03","2745.00","9,960","","-","직거래","-"
"21","경상남도 산청군 시천면 내대리","3**","답","계획관리지역","8m미만","202512","03","420.00","5,000","","-","직거래","-"
"22","경상남도 거창군 고제면 궁항리","1***","전","계획관리지역","8m미만","202512","03","1950.00","3,000","","-","직거래","-"
"23","경상남도 남해군 서면 대정리","2**","전","생산관리지역","8m미만","202512","03","118.00","485","","-","직거래","-"
"24","경상남도 산청군 산청읍 산청리","1**","도로","제2종일반주거지역","8m미만","202512","02","34.50","500","지분","-","중개거래","경남 산청군"
"25","경상남도 창녕군 고암면 우천리","5**","답","생산녹지지역","8m미만","202512","02","1232.00","3,630","","-","직거래","-"
"26","경상남도 고성군 상리면 고봉리","5**","전","계획관리지역","12m미만","202512","02","275.00","250","","-","직거래","-"
