지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),평균풍속(m/s),최대풍속(m/s),합계 일조시간(hr),최심적설(cm)
90,속초,2015-01,1.8,12.2,-7.9,8.7,2.2,11.5,185.6,3
90,속초,2015-02,2.4,14.5,-10.4,32.1,2.5,9.6,189.3,8.7
90,속초,2015-03,6.6,21.4,-5,8,2.5,10.6,275.9,
90,속초,2015-04,11.1,29.8,1.2,74.2,2.5,10.2,185.4,
90,속초,2015-05,17.8,32.6,7.8,9.2,2.4,10.3,298.6,
90,속초,2015-06,19.5,30.1,12.7,127.7,2.1,10.1,191,
90,속초,2015-07,22.7,35.4,14.8,163.1,1.9,9.3,171.2,
90,속초,2015-08,24.2,33,16.1,198.6,1.8,10.7,193.5,
90,속초,2015-09,19.1,27.1,12.5,13.5,1.8,7.8,219,
90,속초,2015-10,14.7,26.2,1,27.4,2,8.8,240.6,
90,속초,2015-11,8.4,21.7,-3.2,463.5,2,8.1,98.6,
90,속초,2015-12,3,10.9,-7.2,1.7,1.8,8.2,164.9,
90,속초,2016-01,-1.2,11.5,-16.4,6.6,2.4,8.7,191.1,
90,속초,2016-02,.8,10.3,-9.4,38.3,2.1,8.8,197.6,
90,속초,2016-03,7,21.5,-7.6,31.8,1.9,8.8,209.6,
90,속초,2016-04,12.6,29.3,3.6,77.5,2.3,10.4,222.9,
90,속초,2016-05,17.2,29,7.3,35.7,2.2,10.7,261.1,
90,속초,2016-06,20.6,30.5,12.6,62.2,1.8,8.8,175.3,
90,속초,2016-07,22.9,31.9,17,477.8,1.3,7.7,119.2,
90,속초,2016-08,25.5,35.9,15.3,186.9,1.6,9.9,220.7,
90,속초,2016-09,20.4,28.6,13.2,126,1.5,7.7,130,
90,속초,2016-10,15.3,24.2,3.3,128.5,1.7,8.1,140.8,
90,속초,2016-11,8.4,20.8,-2.5,40.8,1.8,8.3,172.2,
90,속초,2016-12,4.4,14.1,-6.1,121.7,1.9,9.9,164.8,
90,속초,2017-01,.8,11.3,-11.2,82.4,1.9,8.6,215.4,
90,속초,2017-02,3,14.7,-8.2,3.2,2,11.4,222.2,
90,속초,2017-03,7,18.5,-2.8,48.7,1.9,8.1,199.8,
90,속초,2017-04,14.8,30.8,2.6,46.8,2.3,8.1,255.2,
90,속초,2017-05,18.7,34.3,9.3,25.2,2,9.5,272.3,
90,속초,2017-06,19.8,29.7,9.9,69.7,1.7,7.1,204.7,
90,속초,2017-07,25.6,34.9,18.9,270.3,1.2,5.6,165.4,
90,속초,2017-08,23.7,32.4,16.4,424.9,1.1,7.7,107.2,
90,속초,2017-09,20.8,28.4,13.1,50.5,1.6,7.6,249.2,
90,속초,2017-10,14.5,25,4,135.4,1.7,9.8,157.7,
90,속초,2017-11,7.8,20.4,-4,41.2,2.2,8.2,218.5,
90,속초,2017-12,.7,11.4,-9.9,9.9,2.2,9.1,230.3,
90,속초,2018-01,-1.4,11.9,-16.2,3.9,2,8.5,214.7,
90,속초,2018-02,-.5,10.5,-13.2,54.4,2.1,8.6,218.5,
90,속초,2018-03,8,24.7,-6.2,55,2.2,13.4,171.2,
90,속초,2018-04,13,32.5,2,141.7,2.3,8.2,227.6,
90,속초,2018-05,15.9,29.4,4.5,123.6,2,10.3,186.4,
90,속초,2018-06,21.3,33.9,13.2,46.5,1.7,12.5,208.8,
90,속초,2018-07,25,35.4,14.8,185.4,1.6,5.7,209.3,
90,속초,2018-08,25.6,38.7,17.2,625,1.6,9.1,185.3,
90,속초,2018-09,20,29,12.6,66.1,1.5,5.9,196.1,
90,속초,2018-10,13.5,23.8,.3,257.6,1.8,8.4,229.5,
90,속초,2018-11,9.2,19.2,-1.9,207.4,1.6,6.3,165.7,
90,속초,2018-12,1.6,12.7,-11.4,10.4,1.8,7.1,208,
90,속초,2019-01,1.7,12.8,-9,8.7,1.9,9.9,232.1,
90,속초,2019-02,2.5,15.7,-7.3,27.6,1.8,7,215.2,
90,속초,2019-03,8.2,21.6,-1.4,44.4,2.1,10.5,233.1,
90,속초,2019-04,11.9,25.9,1.3,80.9,2.1,11,230.5,
90,속초,2019-05,19.8,34.2,6.5,5.7,2.2,9.5,296.2,
90,속초,2019-06,20,30.2,11.5,97.8,1.8,6.3,224.8,
90,속초,2019-07,24.7,36.1,17.7,234.4,1.7,6.7,196,
90,속초,2019-08,25.7,35.6,19.3,293.5,1.7,7.2,230.7,
90,속초,2019-09,20.9,32.3,11.6,209.9,1.5,9.9,145.2,
90,속초,2019-10,16.1,25,6.5,185.5,1.9,10.2,157.7,
90,속초,2019-11,9.4,21.1,-1.2,157.3,1.8,7.5,186.9,
90,속초,2019-12,4.2,14.4,-7.1,9.8,1.9,9.9,194.7,
90,속초,2020-01,3.4,11.2,-4.1,148.1,2.1,9.7,163.3,
90,속초,2020-02,4.1,16.1,-8.2,55.8,2,8.4,194.1,
90,속초,2020-03,7.9,19.3,-1.8,38,2.4,8.7,263.7,
90,속초,2020-04,11.3,24.5,.9,38.4,2.5,10.1,256,
90,속초,2020-05,17.1,32.4,7.8,245.1,2.2,9.6,218.5,
90,속초,2020-06,22.2,33.2,13.9,271.9,2.2,9.3,238.7,
90,속초,2020-07,21.6,33.3,15.6,374.7,1.9,8.6,168.5,
90,속초,2020-08,25.7,35.1,19.6,411.3,1.4,9.1,128.4,
90,속초,2020-09,20.1,28.7,12.1,482.8,2.2,10.2,152.5,
90,속초,2020-10,14.3,23.7,4.6,0,1.7,6.4,231.3,
90,속초,2020-11,10,23.1,-2.1,19.2,2,8.2,204.5,
90,속초,2020-12,1.8,11.2,-11.3,.5,2.1,7.8,228.4,
90,속초,2021-01,-1.2,9.7,-16.1,0,2.3,9,200.4,
90,속초,2021-02,3.1,17.8,-10.1,5,2.3,8.1,214.2,
90,속초,2021-03,8,18.9,-4.5,104.2,2,9.3,209,
90,속초,2021-04,12.3,23.8,2,97.2,2.3,9.5,228.4,
90,속초,2021-05,16.7,29.8,7.6,154.9,2.1,10,239.6,
90,속초,2021-06,20.3,30,12.9,43.8,1.7,8,185.7,
90,속초,2021-07,25.5,33.2,18.1,104.1,1.5,5.9,270,
90,속초,2021-08,24.4,33.8,17.1,247.1,1.6,7.3,133,
90,속초,2021-09,20.9,28.8,14.6,141.6,1.7,8.7,195.8,
90,속초,2021-10,15.5,27.5,2.2,216.9,1.8,8.2,174,
90,속초,2021-11,9.9,20.1,-1.8,16.2,2.2,9.3,208.2,
90,속초,2021-12,2.8,13.9,-14.9,68.7,2.2,9.2,219.8,
90,속초,2022-01,-.6,7.8,-9.8,3.6,1.9,7.1,227.2,
90,속초,2022-02,.3,12.7,-10.9,11.1,2.3,7.8,243.8,
90,속초,2022-03,7.1,21,-2,114.5,2.1,11.9,189.4,
90,속초,2022-04,14.2,29.8,1.8,33.5,2.3,8.6,269,
90,속초,2022-05,18.5,33.5,5.8,9.1,2.2,8.4,312.7,
90,속초,2022-06,20.9,34.6,10.1,248.7,1.9,7.9,169.6,
90,속초,2022-07,24.3,33.4,18.8,213.1,1.5,7.5,135.5,
90,속초,2022-08,24.6,35.5,15.8,323.7,1.3,6.2,151.1,
90,속초,2022-09,20.3,29.2,10.9,263.8,1.8,8.6,203.7,
90,속초,2022-10,13.9,29.9,4.8,377.1,1.8,8.6,153.8,
90,속초,2022-11,11,22.3,-4.6,38.4,1.9,10.3,198.8,
90,속초,2022-12,-.2,11.6,-12.5,.7,2.4,8.8,233.5,
90,속초,2023-01,.2,15.1,-16,94.7,2,8.7,215.7,
90,속초,2023-02,2.7,15.6,-6.4,43.4,1.9,9.1,186.6,
90,속초,2023-03,9.3,25.4,-1.7,10.1,2.1,8.2,224,
90,속초,2023-04,12.6,26.9,4,57,2.2,11.3,212.2,
90,속초,2023-05,17,34.4,5.5,81,1.9,8.2,232.6,
90,속초,2023-06,21.9,34.3,13.3,200.1,1.8,9,244.9,
90,속초,2023-07,25.8,35.1,19.6,108.2,1.5,7.7,184.5,
90,속초,2023-08,24.7,36.6,19.1,669.6,1.4,11.2,121.9,
90,속초,2023-09,21.7,30.6,13.6,208.2,1.4,8.1,156.6,
90,속초,2023-10,16.4,25.5,6.3,31.4,1.8,6.8,218.1,
90,속초,2023-11,8.8,27.5,-6,60.1,2.4,12.2,208.7,
90,속초,2023-12,2.3,19,-13.2,205,2.3,11.7,174,
90,속초,2024-01,.6,11.1,-12.3,11.6,2,11.5,203.4,
90,속초,2024-02,1.9,18.1,-5.6,125.7,1.7,7.5,109.7,
90,속초,2024-03,5.7,20.6,-7.4,58.6,2.2,11.2,212.9,
90,속초,2024-04,13.9,27.1,2.1,63.4,2.2,7.9,195.2,
90,속초,2024-05,17.8,33.2,6.5,63.4,2.6,10.2,253.2,
90,속초,2024-06,22.3,34.2,11.2,133.8,2.1,7,279.7,
90,속초,2024-07,26.8,36.5,19.2,109.3,2.4,11.6,150.5,
90,속초,2024-08,27.6,36.6,20.7,46.4,2.1,7.6,229,
90,속초,2024-09,22.1,31.3,13.4,457.9,2.2,9.4,114.2,
90,속초,2024-10,16.1,25,8.1,143.2,2.1,12.6,131.8,
90,속초,2024-11,10.8,21.8,-.9,17.6,2.5,9.5,169,
90,속초,2024-12,3.1,15.5,-5.2,3.2,2.8,9.6,222.3,
93,북춘천,2016-10,14.1,29,-1.9,112.1,.9,6,185.3,
93,북춘천,2016-11,5.1,19.5,-9.1,13.2,.9,5.5,147.4,.5
93,북춘천,2016-12,-.2,10.2,-12.1,83.1,.8,6.4,142.3,1
93,북춘천,2017-01,-3.4,11.6,-17,15.9,1.1,7.7,204.2,10.7
93,북춘천,2017-02,-1.5,12.2,-15.7,11,1.2,6.5,214.9,8.3
93,북춘천,2017-03,4.6,19,-8.3,17.9,1.3,7,212.4,
93,북춘천,2017-04,13.2,29.1,-.8,54.1,1.9,8.7,257.3,
93,북춘천,2017-05,18.6,30.7,6.7,25.5,1.8,9.4,280.1,
93,북춘천,2017-06,22.3,35,9.2,38.1,1.5,7,271.2,
93,북춘천,2017-07,26.3,34.9,19.4,477.8,1,7.4,126.4,
93,북춘천,2017-08,24.4,37.5,13.9,376.3,1.1,6.4,150.3,
93,북춘천,2017-09,19.1,30.5,4.9,33.8,1.1,6.2,220.3,
93,북춘천,2017-10,13.5,26.9,-3.7,42.6,1.1,5.9,196.9,
93,북춘천,2017-11,3.2,18.8,-10.2,15.9,1.2,8,185.3,2.9
93,북춘천,2017-12,-4.3,8.6,-19,24.5,1.2,7.2,183.8,6.3
93,북춘천,2018-01,-6,8.6,-21.7,6.5,1.3,8.4,203,5
93,북춘천,2018-02,-3.4,10.4,-19.2,33,1.5,7.5,214.2,7.6
93,북춘천,2018-03,7,23.4,-8.2,32,1.8,8.8,204.3,
93,북춘천,2018-04,12,29.2,-3,117.2,1.9,8.7,218.7,1.5
93,북춘천,2018-05,17.2,31,2.9,200.5,1.7,8.3,233.2,
